palabra,rt,palabra_noaccents
concebir,498.05,concebir
conceder,496.03,conceder
concentrar,507.81,concentrar
concentrarse,515.51,concentrarse
conceptualizar,526.92,conceptualizar
concernir,532.44,concernir
concertar,524.74,concertar
concienciar,545.15,concienciar
conciliar,533.28,conciliar
concitar,527.3,concitar
concluir,461.78,concluir
concordar,578.2,concordar
concretar,511.61,concretar
concretarse,495.57,concretarse
concretizar,558.74,concretizar
conculcar,516.79,conculcar
concurrir,520.54,concurrir
concursar,495.94,concursar
condecorar,560.43,condecorar
condenar,524.18,condenar
condensar,526.14,condensar
condescender,616.38,condescender
condicionar,520.03,condicionar
condimentar,581.42,condimentar
condonar,557.6,condonar
conducir,479.66,conducir
conducirse,527.37,conducirse
conectar,480.11,conectar
conexionar,530.7,conexionar
confabular,564.48,confabular
confeccionar,550.19,confeccionar
confederar,576.88,confederar
conferenciar,526.66,conferenciar
conferir,513.35,conferir
confesar,504.79,confesar
confiar,495.86,confiar
confiarse,526.73,confiarse
configurar,493.32,configurar
confinar,553.39,confinar
confirmar,486.46,confirmar
confirmarse,511.88,confirmarse
confiscar,543.9,confiscar
confitar,543.14,confitar
confluir,513.11,confluir
conformar,535.08,conformar
conformarse,495.78,conformarse
confortar,531.47,confortar
confraternizar,605.79,confraternizar
confrontar,534.98,confrontar
confundir,474.43,confundir
confundirse,528.46,confundirse
congelar,474.14,congelar
congeniar,547.69,congeniar
congestionar,553.71,congestionar
conglomerar,618.7,conglomerar
congraciar,577.81,congraciar
congraciarse,567.31,congraciarse
congratular,549.13,congratular
congregar,591.62,congregar
conjeturar,510.04,conjeturar
conjugar,517.44,conjugar
conjuntar,533.35,conjuntar
conjurar,521.24,conjurar
conjurarse,533.31,conjurarse
conllevar,500.47,conllevar
conmemorar,653.75,conmemorar
conminar,542.07,conminar
conmover,549.7,conmover
conmutar,540.88,conmutar
conocer,489.58,conocer
conocerse,518.28,conocerse
conquistar,498.16,conquistar
consagrar,551.1,consagrar
conseguir,478.22,conseguir
conseguirse,556.15,conseguirse
consensuar,574.09,consensuar
consentir,493.03,consentir
conservar,487.58,conservar
considerar,496.08,considerar
considerarse,548.05,considerarse
consignar,499.32,consignar
consistir,524.84,consistir
consolar,501.71,consolar
consolidar,509.89,consolidar
consolidarse,543.74,consolidarse
conspirar,549.78,conspirar
constar,480.54,constar
constatar,529.57,constatar
consternar,550.22,consternar
constipar,497.67,constipar
constituir,526.07,constituir
constituirse,547.79,constituirse
constreñir,525.86,constrenir
construir,495.45,construir
construirse,510.86,construirse
consultar,510.44,consultar
consumar,517.98,consumar
consumarse,566.42,consumarse
consumir,479.48,consumir
consumirse,591.32,consumirse
contabilizar,534.86,contabilizar
contabilizarse,570.45,contabilizarse
contactar,542.14,contactar
contagiar,503.7,contagiar
contagiarse,549.62,contagiarse
contaminar,529.0,contaminar
contar,486.7,contar
contarse,514.45,contarse
contemplar,514.69,contemplar
contemporizar,581.31,contemporizar
contener,494.71,contener
contentar,517.42,contentar
contentarse,609.02,contentarse
contestar,490.45,contestar
contextualizar,525.27,contextualizar
continuar,467.17,continuar
continuarse,517.48,continuarse
contorsionarse,568.29,contorsionarse
contraatacar,542.04,contraatacar
contrabalancear,602.69,contrabalancear
contradecir,533.7,contradecir
contraer,506.99,contraer
contraindicar,574.99,contraindicar
contrapesar,602.53,contrapesar
contraponer,566.92,contraponer
contrariar,551.53,contrariar
contrarrestar,562.07,contrarrestar
contrastar,519.14,contrastar
contratar,533.2,contratar
contravenir,559.29,contravenir
contribuir,505.93,contribuir
controlar,487.87,controlar
controlarse,482.52,controlarse
controvertir,542.1,controvertir
convalecer,523.63,convalecer
convalidar,551.41,convalidar
convencer,553.81,convencer
convencerse,548.47,convencerse
convenir,512.76,convenir
converger,536.56,converger
conversar,520.9,conversar
convertir,508.49,convertir
convertirse,503.44,convertirse
convidar,528.65,convidar
convivir,503.98,convivir
convocar,522.78,convocar
convulsionar,539.75,convulsionar
cooperar,506.49,cooperar
coordinar,536.01,coordinar
coordinarse,569.7,coordinarse
copar,508.46,copar
copiar,480.17,copiar
copiarse,497.68,copiarse
copular,501.25,copular
coquetear,546.89,coquetear
corear,507.18,corear
cornear,540.99,cornear
coronar,518.93,coronar
corregir,483.9,corregir
corregirse,511.47,corregirse
correlacionar,558.91,correlacionar
correr,502.17,correr
correrse,520.58,correrse
corresponder,570.51,corresponder
corretear,570.92,corretear
corroborar,547.01,corroborar
corroer,516.49,corroer
corromper,523.53,corromper
corrugar,570.64,corrugar
cortar,486.68,cortar
cortarse,494.94,cortarse
cortejar,516.77,cortejar
cosechar,510.21,cosechar
coser,470.25,coser
cosquillear,523.65,cosquillear
costar,501.04,costar
costear,489.27,costear
costurear,538.43,costurear
cotejar,590.63,cotejar
cotillear,518.68,cotillear
cotizar,484.38,cotizar
cotizarse,543.6,cotizarse
crear,493.38,crear
crearse,536.93,crearse
crecer,496.04,crecer
creer,466.64,creer
creerse,490.8,creerse
crepitar,548.08,crepitar
criar,489.22,criar
criarse,535.45,criarse
cribar,512.01,cribar
criminalizar,558.76,criminalizar
crispar,555.47,crispar
cristalizar,545.58,cristalizar
cristianizar,566.62,cristianizar
criticar,495.67,criticar
criticarse,538.91,criticarse
croar,572.57,croar
cronificarse,665.68,cronificarse
cronometrar,592.25,cronometrar
crucificar,544.28,crucificar
crujir,511.98,crujir
cruzar,480.16,cruzar
cuadrar,576.79,cuadrar
cuadricular,577.68,cuadricular
cuadruplicar,684.99,cuadruplicar
cuajar,566.25,cuajar
cualificar,545.71,cualificar
cuantificar,537.59,cuantificar
cuartear,533.64,cuartear
cubrir,484.06,cubrir
cubrirse,551.51,cubrirse
cuchichear,600.32,cuchichear
cuestionar,503.95,cuestionar
cuestionarse,555.43,cuestionarse
cuidar,501.54,cuidar
cuidarse,509.05,cuidarse
culebrear,542.68,culebrear
culminar,533.0,culminar
culminarse,546.7,culminarse
culpabilizar,536.55,culpabilizar
culpabilizarse,584.8,culpabilizarse
culpar,498.42,culpar
culparse,507.65,culparse
cultivar,531.74,cultivar
cultivarse,576.99,cultivarse
culturizar,604.74,culturizar
cumplimentar,535.94,cumplimentar
cumplir,502.13,cumplir
cumplirse,521.96,cumplirse
cundir,510.02,cundir
curar,502.12,curar
curarse,532.08,curarse
curiosear,524.31,curiosear
currar,528.54,currar
cursar,544.85,cursar
curtir,489.56,curtir
curvar,501.54,curvar
custodiar,564.56,custodiar
damnificar,572.16,damnificar
danzar,491.95,danzar
dañar,509.84,danar
dar,474.49,dar
darse,480.25,darse
datar,512.6,datar
deambular,553.27,deambular
debatir,502.04,debatir
deber,464.47,deber
deberse,547.57,deberse
debilitar,477.91,debilitar
debilitarse,548.58,debilitarse
debutar,488.68,debutar
decaer,510.95,decaer
decantar,529.07,decantar
decapitar,520.14,decapitar
decepcionar,536.08,decepcionar
decidir,523.3,decidir
decidirse,505.7,decidirse
decir,487.59,decir
decirse,524.53,decirse
declamar,547.94,declamar
declarar,481.92,declarar
declararse,529.06,declararse
declinar,500.13,declinar
decodificar,567.26,decodificar
decomisar,506.92,decomisar
decorar,524.64,decorar
decrecer,595.53,decrecer
decretar,524.4,decretar
dedicar,519.92,dedicar
dedicarse,478.1,dedicarse
deducir,529.51,deducir
deducirse,526.91,deducirse
defecar,533.86,defecar
defender,496.45,defender
defenderse,508.33,defenderse
defenestrar,557.37,defenestrar
definir,508.4,definir
definirse,517.07,definirse
deflagrar,588.38,deflagrar
deforestar,599.64,deforestar
deformar,508.88,deformar
deformarse,540.14,deformarse
defraudar,534.18,defraudar
degenerar,581.44,degenerar
deglutir,583.86,deglutir
degollar,547.56,degollar
degradar,538.19,degradar
degustar,515.7,degustar
dejar,484.49,dejar
dejarse,523.94,dejarse
delatar,511.38,delatar
delegar,519.36,delegar
deleitar,516.08,deleitar
deletrear,508.88,deletrear
deliberar,533.54,deliberar
delimitar,482.85,delimitar
delinear,544.92,delinear
delinquir,543.73,delinquir
delirar,495.44,delirar
demacrarse,670.81,demacrarse
demandar,512.72,demandar
demarcar,568.48,demarcar
democratizar,586.17,democratizar
demoler,630.05,demoler
demorar,496.14,demorar
demorarse,483.86,demorarse
demostrar,517.72,demostrar
demudar,502.1,demudar
denegar,571.2,denegar
denigrar,548.68,denigrar
denominar,515.77,denominar
denostar,538.26,denostar
denotar,517.38,denotar
densificar,507.76,densificar
denunciar,597.48,denunciar
deparar,563.73,deparar
departir,523.32,departir
depender,581.32,depender
depilar,525.46,depilar
depilarse,515.92,depilarse
deponer,548.82,deponer
deportar,517.22,deportar
depositar,519.6,depositar
depositarse,489.17,depositarse
depravar,503.95,depravar
depreciar,507.68,depreciar
depredar,527.04,depredar
deprimir,551.78,deprimir
deprimirse,502.02,deprimirse
deprivar,511.07,deprivar
depurar,543.92,depurar
derivar,541.81,derivar
derogar,551.38,derogar
derramar,552.51,derramar
derrapar,525.29,derrapar
derretir,527.99,derretir
derretirse,495.27,derretirse
derribar,563.78,derribar
derrocar,513.6,derrocar
derrochar,538.84,derrochar
derrotar,517.6,derrotar
derruir,502.21,derruir
derrumbar,498.75,derrumbar
derrumbarse,534.08,derrumbarse
desabastecer,517.5,desabastecer
desabrigar,643.08,desabrigar
desabrochar,491.07,desabrochar
desacatar,526.87,desacatar
desacelerar,632.99,desacelerar
desacertar,649.71,desacertar
desaconsejar,577.89,desaconsejar
desacoplar,536.98,desacoplar
desacostumbrar,564.14,desacostumbrar
desacreditar,607.23,desacreditar
desactivar,570.75,desactivar
desafiar,495.87,desafiar
desafinar,476.52,desafinar
desaforar,517.83,desaforar
desagradar,513.2,desagradar
desagradecer,558.56,desagradecer
desagraviar,599.47,desagraviar
desagregar,531.15,desagregar
desahogar,559.35,desahogar
desahogarse,492.64,desahogarse
desahuciar,559.9,desahuciar
desairar,531.69,desairar
desajustar,543.26,desajustar
desalentar,539.54,desalentar
desaliñar,533.38,desalinar
desalojar,493.76,desalojar
desamoldar,491.5,desamoldar
desamparar,544.87,desamparar
desandar,567.89,desandar
desanimar,548.48,desanimar
desanudar,541.73,desanudar
desaparear,609.82,desaparear
desaparecer,507.66,desaparecer
desaparejar,484.32,desaparejar
desaprobar,516.34,desaprobar
desaprovechar,540.41,desaprovechar
desarmar,562.0,desarmar
desarmarse,549.08,desarmarse
desarraigar,541.68,desarraigar
desarreglar,560.26,desarreglar
desarrollar,644.75,desarrollar
desarrollarse,525.96,desarrollarse
desarticular,491.49,desarticular
desasir,554.1,desasir
desasistir,525.71,desasistir
desasosegar,513.59,desasosegar
desatar,601.23,desatar
desatascar,508.38,desatascar
desatender,487.28,desatender
desatornillar,526.45,desatornillar
desatrancar,569.85,desatrancar
desautorizar,588.86,desautorizar
desayunar,593.52,desayunar
desbancar,491.2,desbancar
desbaratar,558.23,desbaratar
desbarrar,590.87,desbarrar
desbloquear,534.17,desbloquear
desbordar,524.28,desbordar
desbordarse,551.38,desbordarse
desbravar,564.32,desbravar
desbridar,536.91,desbridar
desbrozar,527.89,desbrozar
descabalgar,533.73,descabalgar
descabezar,629.95,descabezar
descacharrar,547.88,descacharrar
descafeinar,631.23,descafeinar
descalabrar,577.14,descalabrar
descalcificar,569.96,descalcificar
descalificar,540.8,descalificar
descalzar,549.12,descalzar
descamar,510.6,descamar
descambiar,532.43,descambiar
descamisar,572.6,descamisar
descansar,577.96,descansar
descapotar,494.39,descapotar
descargar,576.59,descargar
descarnar,512.45,descarnar
descarriar,555.05,descarriar
descarrilar,561.01,descarrilar
descartar,562.65,descartar
descascarar,541.99,descascarar
descascarillar,729.69,descascarillar
descender,601.42,descender
descentralizar,523.81,descentralizar
descentrar,599.98,descentrar
descerebrar,533.91,descerebrar
descerrajar,636.88,descerrajar
descifrar,544.9,descifrar
desclasificar,521.23,desclasificar
desclavar,553.26,desclavar
descocarse,532.92,descocarse
descodificar,605.98,descodificar
descogollar,543.73,descogollar
descolgar,549.88,descolgar
descolgarse,520.79,descolgarse
descolocar,535.46,descolocar
descompensar,548.64,descompensar
descomponer,501.05,descomponer
descomponerse,511.88,descomponerse
descomprimir,517.28,descomprimir
desconcertar,548.96,desconcertar
desconchar,555.94,desconchar
desconectar,625.23,desconectar
desconfiar,497.54,desconfiar
descongelar,516.81,descongelar
descongestionar,541.61,descongestionar
desconocer,595.05,desconocer
desconsiderar,536.8,desconsiderar
desconsolar,634.79,desconsolar
descontaminar,532.86,descontaminar
descontar,562.72,descontar
descontextualizar,553.18,descontextualizar
desconvocar,573.93,desconvocar
descorazonar,623.58,descorazonar
descorrer,554.29,descorrer
descortezar,602.72,descortezar
descoser,525.57,descoser
descostillar,512.0,descostillar
descoyuntar,571.24,descoyuntar
descreer,548.84,descreer
describir,568.57,describir
descristianizar,494.53,descristianizar
descuajaringar,575.51,descuajaringar
descuartizar,548.61,descuartizar
descubrir,562.7,descubrir
descubrirse,497.58,descubrirse
descuidar,513.15,descuidar
desdentar,513.1,desdentar
desdeñar,606.35,desdenar
desdeñarse,576.23,desdenarse
desdibujar,553.8,desdibujar
desdoblar,535.53,desdoblar
desdoblarse,536.8,desdoblarse
desdramatizar,508.53,desdramatizar
desear,561.71,desear
desecar,486.3,desecar
desechar,508.62,desechar
desembalar,506.14,desembalar
desembalsar,610.63,desembalsar
desembarcar,567.59,desembarcar
desembocar,540.19,desembocar
desembolsar,538.41,desembolsar
desembozar,520.53,desembozar
desembragar,551.33,desembragar
desembuchar,594.46,desembuchar
desempacar,538.78,desempacar
desempañar,558.98,desempanar
desempaquetar,535.1,desempaquetar
desempatar,584.52,desempatar
desempeñar,517.18,desempenar
desempolvar,526.19,desempolvar
desempotrar,552.03,desempotrar
desempuñar,557.99,desempunar
desencadenar,562.79,desencadenar
desencajar,587.7,desencajar
desencantar,518.58,desencantar
desenchufar,556.16,desenchufar
desenclavarse,567.9,desenclavarse
desencolar,615.65,desencolar
desencuadernar,540.64,desencuadernar
desenfadar,511.4,desenfadar
desenfocar,651.53,desenfocar
desenfrenar,526.41,desenfrenar
desenfundar,540.42,desenfundar
desenganchar,485.47,desenganchar
desengañar,534.26,desenganar
desengarzar,523.3,desengarzar
desengrasar,590.94,desengrasar
desenjabonarse,628.45,desenjabonarse
desenmarañar,585.32,desenmaranar
desenmascarar,587.65,desenmascarar
desenredar,534.63,desenredar
desenrollar,579.43,desenrollar
desenroscar,505.16,desenroscar
desensillar,575.97,desensillar
desentender,621.64,desentender
desentenderse,542.89,desentenderse
desenterrar,640.05,desenterrar
desentonar,580.33,desentonar
desentrañar,560.9,desentranar
desentrenar,600.38,desentrenar
desentubar,613.77,desentubar
desentumecer,531.81,desentumecer
desenvainar,660.23,desenvainar
desenvasar,583.74,desenvasar
desenvolver,519.42,desenvolver
desenvolverse,529.04,desenvolverse
desequilibrar,581.64,desequilibrar
desequilibrarse,517.1,desequilibrarse
desertar,584.37,desertar
desesperar,516.02,desesperar
desestabilizar,530.53,desestabilizar
desestabilizarse,541.48,desestabilizarse
desestimar,571.03,desestimar
desfallecer,507.55,desfallecer
desfasar,535.56,desfasar
desfigurar,578.85,desfigurar
desfilar,577.7,desfilar
desfogar,507.51,desfogar
desfogarse,514.33,desfogarse
desfondar,525.89,desfondar
desgajar,538.03,desgajar
desgarrar,514.89,desgarrar
desgastar,543.38,desgastar
desglosar,504.5,desglosar
desgraciar,549.87,desgraciar
desgranar,550.9,desgranar
desgravar,526.92,desgravar
desguazar,611.38,desguazar
deshabitar,557.01,deshabitar
deshabituar,546.98,deshabituar
deshacer,566.47,deshacer
deshacerse,532.82,deshacerse
desheredar,538.61,desheredar
deshidratar,570.09,deshidratar
deshilachar,517.12,deshilachar
deshinchar,559.61,deshinchar
deshojar,538.53,deshojar
deshonrar,542.22,deshonrar
deshuesar,526.4,deshuesar
designar,547.48,designar
desilusionar,524.47,desilusionar
desinfectar,519.8,desinfectar
desinflar,518.66,desinflar
desintegrar,524.16,desintegrar
desintegrarse,589.43,desintegrarse
desinteresar,551.75,desinteresar
desintoxicar,560.58,desintoxicar
desistir,530.72,desistir
desliar,556.03,desliar
desligar,544.8,desligar
desligarse,535.21,desligarse
deslindar,558.61,deslindar
deslizar,541.14,deslizar
deslizarse,525.64,deslizarse
deslomar,539.52,deslomar
deslucir,545.07,deslucir
deslumbrar,551.64,deslumbrar
desmadejar,528.77,desmadejar
desmantelar,627.32,desmantelar
desmaquillarse,535.56,desmaquillarse
desmarcar,523.71,desmarcar
desmayar,512.33,desmayar
desmelenarse,589.47,desmelenarse
desmembrar,540.91,desmembrar
desmentir,530.78,desmentir
desmenuzar,561.14,desmenuzar
desmerecer,532.81,desmerecer
desmesurar,547.11,desmesurar
desmigajar,565.22,desmigajar
desmigar,503.26,desmigar
desmitificar,530.49,desmitificar
desmontar,525.1,desmontar
desmoralizar,533.24,desmoralizar
desmoronar,540.15,desmoronar
desmotivar,525.57,desmotivar
desnivelar,556.07,desnivelar
desnucar,546.85,desnucar
desnudar,498.27,desnudar
desnudarse,519.31,desnudarse
desobedecer,538.72,desobedecer
desocupar,508.34,desocupar
desoir,538.17,desoir
desollar,524.56,desollar
desorbitar,525.01,desorbitar
desordenar,548.49,desordenar
desorganizar,525.8,desorganizar
desorientar,534.99,desorientar
desovar,582.27,desovar
despabilar,562.98,despabilar
despabilarse,518.81,despabilarse
despachar,581.19,despachar
despacharse,599.37,despacharse
despachurrar,565.89,despachurrar
despanzurrar,624.07,despanzurrar
desparejar,512.46,desparejar
desparramar,561.19,desparramar
desparramarse,577.13,desparramarse
despasar,502.65,despasar
despedazar,602.91,despedazar
despedazarse,584.45,despedazarse
despedir,502.09,despedir
despedirse,568.95,despedirse
despegar,495.31,despegar
despegarse,515.36,despegarse
despeinar,540.81,despeinar
despejar,508.69,despejar
despejarse,519.82,despejarse
despellejar,520.32,despellejar
despenalizar,602.18,despenalizar
despeñar,512.58,despenar
desperdiciar,559.25,desperdiciar
desperdigar,544.22,desperdigar
desperezar,550.24,desperezar
desperezarse,580.68,desperezarse
despersonalizarse,613.22,despersonalizarse
despertar,531.77,despertar
despertarse,508.69,despertarse
despilfarrar,533.64,despilfarrar
despiojar,520.1,despiojar
despistar,544.95,despistar
despistarse,499.86,despistarse
desplazar,538.34,desplazar
desplazarse,541.01,desplazarse
desplegar,520.92,desplegar
desplegarse,559.9,desplegarse
desplomar,479.71,desplomar
desplumar,520.17,desplumar
despoblar,541.52,despoblar
despojar,545.23,despojar
desportillar,565.25,desportillar
desposar,533.32,desposar
desposeer,589.61,desposeer
desposeerse,610.74,desposeerse
despotricar,624.6,despotricar
despreciar,520.66,despreciar
despreciarse,540.99,despreciarse
desprender,509.06,desprender
desprenderse,537.91,desprenderse
desprestigiar,580.29,desprestigiar
despuntar,503.52,despuntar
desquiciar,593.29,desquiciar
desquitar,525.2,desquitar
desquitarse,597.04,desquitarse
desratizar,621.91,desratizar
destacar,543.6,destacar
destacarse,501.98,destacarse
destapar,544.03,destapar
destaparse,589.65,destaparse
destejer,512.48,destejer
destellar,487.06,destellar
destemplar,529.91,destemplar
desterrar,515.0,desterrar
destetar,573.99,destetar
destilar,504.38,destilar
destinar,507.26,destinar
destinarse,534.13,destinarse
destituir,558.78,destituir
destornillar,561.81,destornillar
destrenzar,552.37,destrenzar
destripar,556.1,destripar
destronar,526.77,destronar
destrozar,490.13,destrozar
destrozarse,507.03,destrozarse
destruir,495.37,destruir
destruirse,525.41,destruirse
desunir,528.17,desunir
desvalijar,520.67,desvalijar
desvalorizar,520.49,desvalorizar
desvanecer,515.62,desvanecer
desvanecerse,546.92,desvanecerse
desvariar,538.16,desvariar
desvelar,552.14,desvelar
desvelarse,567.0,desvelarse
desvencijar,637.04,desvencijar
desvestir,514.23,desvestir
desviar,489.58,desviar
desviarse,510.73,desviarse
desvirtuar,550.01,desvirtuar
detallar,493.6,detallar
detectar,557.17,detectar
detectarse,528.38,detectarse
detener,471.89,detener
detenerse,494.11,detenerse
deteriorar,522.69,deteriorar
deteriorarse,557.28,deteriorarse
determinar,502.31,determinar
detestar,499.56,detestar
detonar,498.96,detonar
detraer,621.07,detraer
devaluar,548.46,devaluar
devanar,556.74,devanar
devastar,509.59,devastar
devenir,521.29,devenir
devolver,521.11,devolver
devolverse,583.86,devolverse
devorar,495.53,devorar
diagnosticar,501.53,diagnosticar
dialogar,497.14,dialogar
dibujar,487.33,dibujar
dictaminar,565.25,dictaminar
dictar,484.76,dictar
dictarse,557.92,dictarse
diezmar,539.69,diezmar
difamar,576.83,difamar
diferenciar,491.39,diferenciar
diferenciarse,529.61,diferenciarse
diferir,507.53,diferir
dificultar,489.28,dificultar
difuminar,534.27,difuminar
difundir,519.53,difundir
difundirse,515.68,difundirse
digerir,545.24,digerir
dignificar,508.14,dignificar
dilapidar,527.62,dilapidar
dilatar,512.65,dilatar
dilucidar,586.59,dilucidar
diluir,496.96,diluir
diluviar,535.89,diluviar
dimensionar,542.81,dimensionar
dimitir,525.64,dimitir
dinamitar,517.45,dinamitar
dinamizar,495.2,dinamizar
diplomar,524.58,diplomar
dirigir,491.24,dirigir
dirigirse,510.0,dirigirse
dirimir,612.27,dirimir
discernir,545.71,discernir
disciplinar,564.39,disciplinar
discrepar,505.57,discrepar
discriminar,543.46,discriminar
discriminarse,544.02,discriminarse
disculpar,483.1,disculpar
disculparse,500.75,disculparse
discurrir,483.51,discurrir
discursear,532.69,discursear
discutir,471.87,discutir
discutirse,518.46,discutirse
disecar,530.01,disecar
diseccionar,589.87,diseccionar
diseminar,540.72,diseminar
disentir,516.92,disentir
diseñar,534.8,disenar
disertar,597.64,disertar
disfrazar,496.41,disfrazar
disfrazarse,506.3,disfrazarse
disfrutar,485.78,disfrutar
disgregarse,580.18,disgregarse
disgustar,504.86,disgustar
disimular,502.2,disimular
disipar,484.54,disipar
dislocar,515.89,dislocar
disminuir,518.58,disminuir
disociar,553.33,disociar
disociarse,544.63,disociarse
disolver,490.99,disolver
disolverse,518.45,disolverse
disparar,483.96,disparar
disparatar,519.33,disparatar
dispensar,495.71,dispensar
dispersar,597.16,dispersar
disponer,490.78,disponer
disputar,504.55,disputar
disputarse,561.88,disputarse
distanciar,521.52,distanciar
distar,516.74,distar
distender,531.33,distender
distensionar,534.12,distensionar
distinguir,524.64,distinguir
distinguirse,533.18,distinguirse
distorsionar,523.3,distorsionar
distraer,546.38,distraer
distraerse,531.06,distraerse
distribuir,512.11,distribuir
disuadir,479.7,disuadir
divagar,549.03,divagar
divergir,564.22,divergir
diversificar,546.53,diversificar
divertir,512.01,divertir
divertirse,509.42,divertirse
dividir,480.83,dividir
dividirse,481.3,dividirse
divinizar,561.55,divinizar
divisar,510.28,divisar
divisarse,527.69,divisarse
divorciar,520.89,divorciar
divorciarse,556.86,divorciarse
divulgar,513.14,divulgar
doblar,473.13,doblar
doblarse,546.77,doblarse
doblegar,522.42,doblegar
doctorar,478.73,doctorar
doctorarse,569.34,doctorarse
documentar,507.99,documentar
documentarse,555.82,documentarse
dogmatizar,572.34,dogmatizar
doler,476.16,doler
domar,515.63,domar
domeñar,509.67,domenar
domesticar,523.46,domesticar
domiciliar,547.5,domiciliar
dominar,481.43,dominar
donar,490.96,donar
dopar,513.75,dopar
dorar,508.17,dorar
dormir,474.36,dormir
dormirse,472.86,dormirse
dormitar,526.84,dormitar
dosificar,555.73,dosificar
dotar,493.57,dotar
dotarse,547.16,dotarse
dragar,544.88,dragar
dramatizar,497.41,dramatizar
drenar,511.86,drenar
driblar,656.73,driblar
drogar,488.81,drogar
drogarse,521.73,drogarse
duchar,494.68,duchar
ducharse,549.51,ducharse
dudar,501.72,dudar
dulcificar,549.54,dulcificar
duplicar,488.57,duplicar
duplicarse,498.17,duplicarse
durar,509.77,durar
echar,500.29,echar
echarse,498.28,echarse
eclipsar,567.06,eclipsar
eclosionar,549.47,eclosionar
economizar,513.33,economizar
edificar,508.06,edificar
edificarse,542.76,edificarse
editar,483.33,editar
educar,472.23,educar
educarse,503.06,educarse
edulcorar,546.0,edulcorar
efectuar,495.6,efectuar
ejecutar,489.91,ejecutar
ejemplificar,512.45,ejemplificar
ejercer,500.48,ejercer
ejercitar,526.8,ejercitar
elaborar,507.94,elaborar
electrificar,539.8,electrificar
electrocutar,561.67,electrocutar
elegir,488.34,elegir
elevar,514.06,elevar
elevarse,500.22,elevarse
eliminar,500.84,eliminar
elogiar,528.11,elogiar
elucubrar,644.38,elucubrar
eludir,514.38,eludir
emanar,507.43,emanar
emancipar,523.05,emancipar
embadurnar,602.16,embadurnar
embalar,493.99,embalar
embaldosar,597.49,embaldosar
embalsamar,569.83,embalsamar
embalsar,540.66,embalsar
embarazar,526.07,embarazar
embarazarse,528.84,embarazarse
embarcar,529.8,embarcar
embargar,488.94,embargar
embarrancar,592.64,embarrancar
embarrar,524.11,embarrar
embaucar,504.14,embaucar
embelesar,550.82,embelesar
embellecer,507.57,embellecer
embestir,503.03,embestir
embetunar,607.11,embetunar
embijar,563.95,embijar
embobar,479.23,embobar
embocar,500.34,embocar
embolar,501.57,embolar
embolsar,496.61,embolsar
emboquillar,617.3,emboquillar
emborrachar,540.87,emborrachar
emborracharse,534.44,emborracharse
emborronar,564.05,emborronar
embotar,500.25,embotar
embotellar,518.06,embotellar
embozar,569.22,embozar
embragar,546.07,embragar
embravecer,547.62,embravecer
embrollar,531.22,embrollar
embromar,538.74,embromar
embrujar,495.18,embrujar
embrutecer,553.45,embrutecer
embutir,513.1,embutir
emerger,493.63,emerger
emigrar,543.92,emigrar
emitir,494.23,emitir
emitirse,517.24,emitirse
emocionar,489.21,emocionar
emocionarse,500.82,emocionarse
empacar,493.02,empacar
empadronar,502.3,empadronar
empalar,507.38,empalar
empalmar,519.06,empalmar
empañar,498.42,empanar
empapar,515.59,empapar
empapelar,498.05,empapelar
empaquetar,528.44,empaquetar
emparedar,562.27,emparedar
emparejar,494.23,emparejar
emparentar,518.24,emparentar
emparrar,482.26,emparrar
empastar,552.04,empastar
empatar,478.31,empatar
empedrar,517.3,empedrar
empeñar,517.66,empenar
empeorar,549.14,empeorar
empequeñecer,555.0,empequenecer
empezar,477.84,empezar
empinar,500.92,empinar
empingorotar,553.48,empingorotar
emplazar,495.42,emplazar
emplear,497.08,emplear
emplearse,523.82,emplearse
emplumar,504.18,emplumar
empobrecer,549.76,empobrecer
empobrecerse,601.22,empobrecerse
empollar,527.46,empollar
empolvar,523.34,empolvar
empotrar,500.48,empotrar
emprender,503.2,emprender
empujar,460.21,empujar
empuñar,473.22,empunar
emular,520.82,emular
emulsionar,555.29,emulsionar
enajenar,550.78,enajenar
enaltecer,591.99,enaltecer
enamorar,543.12,enamorar
enamorarse,527.63,enamorarse
enarbolar,554.18,enarbolar
enarcar,520.18,enarcar
enardecer,532.56,enardecer
encabezar,475.99,encabezar
encabritar,525.8,encabritar
encadenar,518.63,encadenar
encajar,479.89,encajar
encajonar,571.66,encajonar
encalar,522.26,encalar
encallar,502.56,encallar
encamar,505.21,encamar
encaminar,551.45,encaminar
encaminarse,572.69,encaminarse
encandilar,591.45,encandilar
encantar,468.99,encantar
encañonar,525.32,encanonar
encapsular,566.87,encapsular
encapuchar,555.33,encapuchar
encaramar,581.63,encaramar
encarar,545.26,encarar
encarcelar,580.07,encarcelar
encarecer,549.38,encarecer
encargar,483.53,encargar
encargarse,559.89,encargarse
encariñar,512.59,encarinar
encarnar,517.4,encarnar
encarnarse,558.71,encarnarse
encarrilar,516.19,encarrilar
encasillar,504.16,encasillar
encastillarse,603.74,encastillarse
encausar,562.31,encausar
encauzar,568.59,encauzar
encender,498.36,encender
encenderse,526.69,encenderse
encerar,474.09,encerar
encerrar,512.86,encerrar
encerrarse,515.27,encerrarse
encestar,508.93,encestar
encharcar,577.41,encharcar
enchufar,472.57,enchufar
enclaustrarse,574.05,enclaustrarse
encoger,473.92,encoger
encogerse,495.81,encogerse
